"komnr","year","kommunenavn","bef","bef0_19","bef1_5","bef6_12","bef13_15","bef67_79","bef80_89","bef90_","kommunaleveierkm","psyk_17","psyk18_66","knavn","andel_k_bh","barn_k_bh","barn_k_bh_pi","andel_tettbygd","VoteShareLEFT","ENoP","ntodrres","ntodr","n_driftres","u_adm","u_gs","u_utd","u_bh","u_hs","u_sos","u_bv","u_plo","u_kul","u_kv","u_var","u_inf","u_ann","bef_0_5","bef_6_15","bef_16_66","bef_67_79","bef_80_89","bef_90_","skilte_16_59","arbledig_16_59","dod","ikke_gifte_67_","pu_o16","driftsenheter","areal_total","landbrukseiendom","bef_16_22","bef_23_66","sone_snitt","innv_6_15","barn_enslig","fattige","ufor_18_49","flyktninger","opphopning","innb_hoyere_utd","bef_0_1","bef_2_5","barn_u_ks","vertskom_ant","rens_sum","rensekap","int_til","aleneboende","snomengde","snodager","rkb_utg","rkb_ant","rkb_utg_selv","frie","frie_tot","y"
1523,2014,"Ørskog",2301,552,136,202,82,238,96,34,39,8,40,"Ørskog",63.2999992370605,86,0.0373750552535057,0.64599996805191,0.229485034942627,4.44615364074707,-4.5,-8754,-3.80443286895752,8.53715775749674,14.3198609300304,1.2090395480226,10.3011734028683,4.90221642764016,2.41112559756628,1.42459800086919,22.7157757496741,1.84006953498479,0.76271186440678,2.74880486744894,3.99261190786615,10.5532377227292,156,288,1490,239,83,38,97,38,11,152,7,34,132.36,158,184,1306,6239.51666667,32,32,63,33,43,0.0438594,505,45,111,10.42,9,0,0,4666900,151,355.8,34.7,0,0,0,5589,125054,71.3607127199169
1523,2015,"Ørskog",2294,558,138,192,95,250,86,33,41,5,33,"Ørskog",63.2999992370605,81,0.0353095047175884,0.647340893745422,0.229485034942627,4.44615364074707,-2.59999990463257,-5238,-2.28334784507751,6.97776809067132,13.3949433304272,1.64995640802092,9.38055797733217,5.14690496948561,3.30383609415867,1.87358326068003,21.4917175239756,2.7258064516129,1.07018308631212,3.05536181342633,4.512641673932,13.0139494333043,152,304,1487,252,85,32,106,34,11,141,7,34,132.36,159,181,1306,6374.74233333,36,35,85,39,43,0.05821258,507,44,108,18.92,8,0,0,5358200,160,466.2,57.2,2135,1,1054,4126,129946,72.2999128349574
1523,2016,"Ørskog",2310,560,134,211,83,261,81,30,41,7,28,"Ørskog",44.9000015258789,57,0.0246753245592117,0.660173177719116,0.240544304251671,4.73770475387573,0.300000011920929,639,0.276623368263245,8.3021645021645,13.6212121212121,1.93809523809524,9.58917748917749,4.90952380952381,3.92380952380952,1.50519480519481,21.7333333333333,2.01601731601732,1.13679653679654,3.22900432900433,4.43116883116883,12.7510822510823,146,301,1485,274,77,32,107,31,10,136,7,34,132.36,159,190,1295,6452.97433333,36,36,79,41,41,0.04910759,517,38,108,9.91666667,8,0,0,6617600,169,580.2,57.4,3789,1,2632,5653,134987,76.6121212037611
1523,2017,"Ørskog",2296,566,129,204,93,284,73,30,41,9,32,"Ørskog",43.5,50,0.0217770040035248,0.653745651245117,0.240544304251671,4.73770475387573,2.20000004768372,4795,2.08841466903687,7.35627177700348,14.6698606271777,2.24608013937282,9.61324041811847,5.29747386759582,3.91289198606272,1.7469512195122,21.6132404181185,2.7852787456446,0.904616724738676,3.05618466898955,4.50479094076655,13.4969512195122,146,291,1465,301,70,28,104,29,18,146,7,32,132.36,159,194,1271,6369.02066667,35,41,72,39,39,0.04119268,536,46,100,15.91666667,7,0,0,7371000,179,692.9,76.8,5839.7,2,3369.7,3126,138124,79.7952962021379
1523,2018,"Ørskog",2267,543,119,193,86,311,67,25,41,11,27,"Ørskog",41.7000007629395,43,0.0189677979797125,0.649316251277924,0.240544304251671,4.73770475387573,-1.89999997615814,-4148,-1.82973086833954,7.18835465372739,15.555359505955,2.2977503308337,9.2637847375386,5.71768857520953,3.94353771504191,1.8844287604764,23.3202470224967,2.62549625055139,1.20335244816939,3.67887075430084,4.91883546537274,14.7243052492281,135,282,1432,320,64,29,93,20,18,151,8,30,132.35,153,193,1239,6141.21833333,28,40,91,39,36,0.03293452,532,45,90,19.3533333,7,0,0,6133200,169,409.3,53.8,7514,2,4974,3038,141138,79.767975351334
1524,2014,"Norddal",1685,432,92,149,86,203,88,41,45,8,23,"Norddal",100,76,0.0451038591563702,0,0.304591238498688,3.97297263145447,-1.89999997615814,-3824,-2.26943612098694,11.2860534124629,20.8278931750742,1.54124629080119,6.93115727002967,6.85103857566766,0.918100890207715,0.804747774480712,34.0362017804154,2.43323442136499,2.44035608308605,3.28189910979228,10.7976261127596,20.4943620178042,110,228,1017,209,88,41,65,9,9,141,8,96,943.52,282,154,863,16605.59066667,17,17,27,23,5,0.00556314,270,36,74,10.42,0,0,0,0,124,478.3,55.3,7974,3,4845,2288,142473,99.8801187751555
1524,2015,"Norddal",1676,423,89,142,77,215,80,43,45,10,29,"Norddal",100,74,0.044152744114399,0,0.304591238498688,3.97297263145447,-1.70000004768372,-3285,-1.96002388000488,10.0930787589499,20.4809069212411,1.37410501193317,6.5,7.3090692124105,1.131861575179,1.09606205250597,31.090692124105,3.14021479713604,2.44212410501193,2.67064439140811,8.93794749403341,18.5650357995227,95,217,1022,218,79,39,61,11,9,144,8,98,943.52,282,156,866,16847.15133333,16,13,46,26,5,0.01098835,274,24,71,12.33,0,0,0,0,122.5,662.5,92.4,6939,3,3696,-17,139248,94.3066825639092
1524,2016,"Norddal",1652,405,80,145,72,218,79,38,46,11,25,"Norddal",100,68,0.0411622263491154,0,0.178049176931381,2.60360360145569,0.699999988079071,1372,0.830508470535278,9.98849878934625,18.5744552058111,1.67554479418886,6.62893462469734,6.68946731234867,1.8638014527845,0.927360774818402,30.8093220338983,2.87348668280872,2.7409200968523,3.01997578692494,8.07808716707022,18.388014527845,88,210,1022,229,79,36,62,11,10,146,11,97,943.52,281,164,858,16871.016,14,23,52,28,4,0.01299474,285,20,68,-1.16666667,0,0,0,2260000,121,820.3,89.8,7069,3,3598,3163,147612,94.7003631920849
1524,2017,"Norddal",1663,394,73,144,60,232,83,33,46,2,24,"Norddal",100,58,0.0348767302930355,0,0.178049176931381,2.60360360145569,8.89999961853027,19445,11.6927242279053,12.7083583884546,18.9933854479856,1.77811184606133,5.75646422128683,6.42994588093806,1.85147324113049,0.966325917017438,32.3830426939266,3.374624173181,2.42934455802766,2.28141912206855,8.20384846662658,18.0673481659651,84,207,1039,239,85,33,57,15,13,150,11,93,943.52,275,166,873,16821.81233333,12,24,64,29,4,0.01978616,295,26,58,11.45833333,0,0,0,1020000,131,959.6,106.8,6994,3,3289,4518,144763,108.84906818461
1524,2018,"Norddal",1670,398,68,147,61,238,91,34,46,6,24,"Norddal",100,56,0.0335329324007034,0,0.178049176931381,2.60360360145569,-2.29999995231628,-4783,-2.8640718460083,12.0736526946108,19.4479041916168,1.48023952095808,5.81616766467066,7.04251497005988,1.57005988023952,1.74491017964072,34.2784431137725,3.57005988023952,2.47844311377245,2.82754491017964,10.7155688622754,21.0718562874251,84,207,1009,243,93,34,54,11,11,154,11,93,943.51,275,171,838,16663.76533333,11,20,67,30,4,0.01427014,307,29,55,7.45500005,0,0,0,794750,131,498.4,66.9,6993,3,3183,1872,145764,100.181437136028
